Math_Score	Reading_Score 	Writing_Score	Placement_Score	Club_Join_Date	Placement_Offer_Count
75	77	79	97	2021	3
61	88	72	77	2018	2
60	82	71	78	2021	2
75	80	64	88	2019	3
70	89	70	75	2020	2
71	82	68	78	2021	2
76	83	80	83	2018	2
69	86	75	94	2020	3
79	76	77	76	2020	2
63	85	80	79	2020	2
64	76	66	77	2020	2
67	87	66	79	2018	2
64	85	75	96	2021	3
74	90	64	99	2021	3
78	77	79	95	2019	3
71	84	69	82	2018	2
64	75	80	96	2018	3
64	88	67	78	2020	2
71	82	70	93	2018	3
72	90	74	99	2020	3
73	83	74	76	2019	2
63	90	78	98	2020	3
62	87	73	95	2020	3
74	84	75	80	2019	2
79	85	64	87	2018	3
72	80	63	85	2020	3
71	80	77	96	2020	3
61	79	73	88	2021	3
80	89	76	100	2019	3
65	75	64	87	2019	3
					
